category_no,category_name,view_cnt,fixed_tags,cate_img,captured_at_utc,platform
360003,모바일 종합게임,37,['모바일게임'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/6098670d90f664702.jpg,2025-08-20T05:34:47.419402+00:00,soop
20011,운세,36,['운세'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/8180670d90071d4a0.png,2025-08-20T05:34:47.419402+00:00,soop
40157,스트리트 파이터 6,27,"['격투', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/8639670d9075d48f9.jpg,2025-08-20T05:34:47.419402+00:00,soop
40008,레트로게임,23,['고전'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/3029670d901388446.jpg,2025-08-20T05:34:47.419402+00:00,soop
800000,WWE,21,['WWE'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/4428670d915bf27ad.jpg,2025-08-20T05:34:47.419402+00:00,soop
570015,라크로스,19,"['라크로스', 'LACROSSE']",https://admin.img.sooplive.co.kr/category_img/2025/08/07/68556894665e9cb4f.png,2025-08-20T05:34:47.419402+00:00,soop
40146,러스트,16,"['생존', '인디게임']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3129670d906a6e92a.png,2025-08-20T05:34:47.419402+00:00,soop
350025,원피스,16,"['애니메이션', '만화', '격투', '모험']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9686670d90ed1046f.jpg,2025-08-20T05:34:47.419402+00:00,soop
40163,철권 8,14,"['격투', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/8801670d907c13113.jpg,2025-08-20T05:34:47.419402+00:00,soop
40085,프리스타일,13,['스포츠게임'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/7904670d9037bac82.jpg,2025-08-20T05:34:47.419402+00:00,soop
40128,오버워치 2,13,"['슈팅', '액션', 'FPS']",https://admin.img.sooplive.co.kr/category_img/2025/07/14/335968748cdd6ee8f.png,2025-08-20T05:34:47.419402+00:00,soop
40081,디아블로 II,12,"['RPG', '판타지']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/8884670d9034a29c8.jpg,2025-08-20T05:34:47.419402+00:00,soop
570005,기타 스포츠,11,['기타스포츠'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/7029670d914c709f1.jpg,2025-08-20T05:34:47.419402+00:00,soop
290001,자습,9,"['공부', '교양', '스터디', '학습']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6934670d90e194e3c.jpg,2025-08-20T05:34:47.419402+00:00,soop
390006,TV CHOSUN,9,"['뉴스', '시사', '종편', '예능', '사회', '정치']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9857670d91441a338.jpg,2025-08-20T05:34:47.419402+00:00,soop
40035,그랜드 테프트 오토 V,8,"['액션', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9526670d901fea149.jpg,2025-08-20T05:34:47.419402+00:00,soop
570016,스쿼시,8,"['스쿼시', 'SQUASH']",https://admin.img.sooplive.co.kr/category_img/2025/08/07/21656894677e20ce7.png,2025-08-20T05:34:47.419402+00:00,soop
390003,JTBC,7,"['뉴스', '시사', '종편', '사회', '정치']",https://admin.img.sooplive.co.kr/category_img/2025/03/17/148667d7dcd14eabd.jpg,2025-08-20T05:34:47.419402+00:00,soop
40002,워크래프트 III,5,"['전략', '시뮬레이션', 'RTS']",https://admin.img.sooplive.co.kr/category_img/2024/11/11/665767318e1d2925a.jpg,2025-08-20T05:34:47.419402+00:00,soop
40022,블레이드 앤 소울,5,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/2107670d901cd1d55.png,2025-08-20T05:34:47.419402+00:00,soop
40069,포트나이트,5,"['슈팅', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/8349670d902a4d86e.jpg,2025-08-20T05:34:47.419402+00:00,soop
40175,크레이지 아케이드,5,"['아케이드', 'PC']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/4996670d90887018b.jpg,2025-08-20T05:34:47.419402+00:00,soop
390004,MBN,5,"['뉴스', '시사', '종편', '예능', '사회', '정치']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7050670d9143112d1.jpg,2025-08-20T05:34:47.419402+00:00,soop
40039,하스스톤,4,['TCG'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/5261670d902101a09.jpg,2025-08-20T05:34:47.419402+00:00,soop
270001,국내주식,4,['주식'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/3107670d90d84ba63.jpg,2025-08-20T05:34:47.419402+00:00,soop
40102,월드 오브 탱크,3,"['슈팅', '전략']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/4985670d9045321f8.jpg,2025-08-20T05:34:47.419402+00:00,soop
40105,검은사막,3,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2025/08/20/357868a556e754d5d.jpg,2025-08-20T05:34:47.419402+00:00,soop
40179,로블록스,3,"['오픈월드', '샌드박스', 'RPG']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/8269670d908c932f5.png,2025-08-20T05:34:47.419402+00:00,soop
360069,오딘: 발할라 라이징,3,"['모바일게임', 'MMORPG']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6622670d911aa5f7d.png,2025-08-20T05:34:47.419402+00:00,soop
20006,뷰티,2,['뷰티'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/2819670d9003ef162.png,2025-08-20T05:34:47.419402+00:00,soop
30003,노래방,2,['노래방'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/6936670d900b45f84.jpg,2025-08-20T05:34:47.419402+00:00,soop
40065,바람의나라,2,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6188670d902736d76.jpg,2025-08-20T05:34:47.419402+00:00,soop
40080,데드 바이 데이라이트,2,"['공포', '인디게임']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/5951670d903399abf.jpg,2025-08-20T05:34:47.419402+00:00,soop
270007,기타 금융,2,['기타금융'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/5524670d90de7b0a6.jpg,2025-08-20T05:34:47.419402+00:00,soop
960015,장화 홍련,2,"['장화홍련', '영화', '같이보기']",https://admin.img.sooplive.co.kr/category_img/2025/08/06/38886892dd96eefae.jpg,2025-08-20T05:34:47.419402+00:00,soop
40016,스타크래프트 II,1,"['전략', '시뮬레이션', 'RTS']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6566670d9018b245d.jpg,2025-08-20T05:34:47.419402+00:00,soop
40050,히어로즈 오브 더 스톰,1,"['MOBA', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/1854670d9025230a2.jpg,2025-08-20T05:34:47.419402+00:00,soop
40073,Apex 레전드,1,"['슈팅', 'FPS']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/5237670d902c643d1.jpg,2025-08-20T05:34:47.419402+00:00,soop
40107,이스케이프 프롬 타르코프,1,"['슈팅', 'RPG', '시뮬레이션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6878670d9049544ae.jpg,2025-08-20T05:34:47.419402+00:00,soop
40156,쓰론 앤 리버티,1,['MMORPG'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/6874670d9074cc61d.jpg,2025-08-20T05:34:47.419402+00:00,soop
140002,한화,1,"['한화', '야구']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/5863670d90cac7b36.jpg,2025-08-20T05:34:47.419402+00:00,soop
180000,해외프로야구,1,['야구'],https://admin.img.sooplive.co.kr/category_img/2025/06/16/2843684fb52845709.png,2025-08-20T05:34:47.419402+00:00,soop
270009,파생,1,"['금융', '거래', '주가']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6878670d90e089a41.png,2025-08-20T05:34:47.419402+00:00,soop
290002,지식,1,"['교양', '학습']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/2729670d90e2a09e6.png,2025-08-20T05:34:47.419402+00:00,soop
350053,귀멸의 칼날,1,"['귀멸의칼날', '애니', '같이보기']",https://admin.img.sooplive.co.kr/category_img/2025/08/08/1447689566d252a15.jpg,2025-08-20T05:34:47.419402+00:00,soop
360101,로드나인,1,"['모바일게임', 'MMORPG']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/5369670d913abedf2.png,2025-08-20T05:34:47.419402+00:00,soop
880000,SOOPER LEAGUE,1,['SOOPERLEAGUE'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/3303670d916232e49.jpg,2025-08-20T05:34:47.419402+00:00,soop
20012,숲토어,0,['숲토어'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/4375670d900825438.png,2025-08-20T05:34:47.419402+00:00,soop
30005,X2,0,"['X2', '엑스투']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9074670d900c4e6c8.jpg,2025-08-20T05:34:47.419402+00:00,soop
40011,월드 오브 워크래프트,0,"['MMORPG', '오픈월드', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7298670d9014911e3.jpg,2025-08-20T05:34:47.419402+00:00,soop
40020,디아블로 III,0,"['RPG', '판타지']",https://admin.img.sooplive.co.kr/category_img/2024/11/12/23696732c4b55338c.jpg,2025-08-20T05:34:47.419402+00:00,soop
40033,사이퍼즈,0,"['MOBA', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7977670d901ee22d1.png,2025-08-20T05:34:47.419402+00:00,soop
40040,마비노기,0,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/1384670d9022097f8.png,2025-08-20T05:34:47.419402+00:00,soop
40042,버블파이터,0,"['슈팅', '캐주얼']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/4435670d9023130f4.png,2025-08-20T05:34:47.419402+00:00,soop
40061,철권 7,0,"['격투', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/8301670d90262c804.jpg,2025-08-20T05:34:47.419402+00:00,soop
40074,패스 오브 엑자일,0,"['액션', 'RPG']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7076670d902d6bebb.jpg,2025-08-20T05:34:47.419402+00:00,soop
40076,오토 체스,0,"['전략', '오토배틀러']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9237670d902f7ae4c.jpg,2025-08-20T05:34:47.419402+00:00,soop
