category_no,category_name,2025-08-26T11:00:00Z,2025-08-26T12:00:00Z,2025-08-26T13:00:00Z,2025-08-26T14:00:00Z,2025-08-26T15:00:00Z,2025-08-26T16:00:00Z,2025-08-26T17:00:00Z,2025-08-26T18:00:00Z,2025-08-26T19:00:00Z,2025-08-26T20:00:00Z,2025-08-26T21:00:00Z,2025-08-26T22:00:00Z,2025-08-26T23:00:00Z,2025-08-27T01:00:00Z,2025-08-27T03:00:00Z,2025-08-27T04:00:00Z,2025-08-27T05:00:00Z,2025-08-27T06:00:00Z,2025-08-27T07:00:00Z,2025-08-27T08:00:00Z,2025-08-27T09:00:00Z,2025-08-27T10:00:00Z,2025-08-27T11:00:00Z
00040141,THE FINALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040142,프라시아 전기,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
00040143,디아블로 IV,1,1,1,1,1,7,6,10,1,4,5,5,4,4,6,4,3,3,4,8,11,5,1
00040144,스타워즈 제다이: 서바이버,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040145,아웃라스트 트라이얼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040146,러스트,16,4,7,6,14,10,7,91,32,45,19,23,28,5,8,5,5,0,0,0,0,0,0
00040147,라쳇 & 클랭크: 리프트 어파트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040148,발더스 게이트 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040149,이모탈스 오브 아베움,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040150,데스티니 가디언즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
00040151,P의 거짓,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,7,8,0,0
00040152,스톰 스트라이커,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040153,EA Sports FC 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040154,Only Climb: Better Together,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040155,앨런 웨이크 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040156,쓰론 앤 리버티,0,3,3,4,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0
00040157,스트리트 파이터 6,134,115,148,143,138,5,3,0,0,0,0,0,0,0,0,10,21,34,19,24,53,80,107
00040158,메이플스토리 월드,932,1209,1323,1470,1352,1284,1115,1083,759,698,198,220,161,276,410,664,670,671,753,639,745,832,976
00040159,다크 앤 다커,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040160,팰월드,0,40,49,51,34,30,27,24,25,21,20,24,26,29,34,34,0,0,4,5,6,8,10
00040161,용과 같이8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040162,리썰 컴퍼니,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,5,0,0,10
00040163,철권 8,71,149,191,116,117,84,54,43,41,10,8,9,12,13,18,17,33,36,10,13,21,20,26
00040164,페르소나 3 리로드,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040165,그랑블루 판타지 Relink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040166,파피 플레이타임,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040167,알투비트,5,8,9,6,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
00040168,더 킹 오브 파이터즈 98,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040169,더 킹 오브 파이터즈 2002,5,8,11,10,6,7,8,6,6,5,4,5,6,5,5,4,5,7,8,7,8,9,8
00040170,더 킹 오브 파이터즈 XV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040171,스트리트 파이터 II,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040172,헬다이버즈 2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040173,엘든 링,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040174,나이팅게일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040175,크레이지 아케이드,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
00040176,발라트로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040177,라스트 에포크,6,2,2,2,2,0,0,0,0,0,0,0,0,0,0,3,3,5,6,5,5,4,4
00040178,포 더 킹 II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040179,로블록스,3,2,0,0,0,0,1,2,0,0,2,2,1,1,0,0,0,4,4,3,3,5,3
00040180,스플래툰 3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040181,스펠렁키 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040182,데이 아 빌리언즈,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040183,딥 락 갤럭틱: 서바이버,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040184,아이작의 번제: 리버스,0,0,0,0,0,0,0,6,9,8,10,0,0,0,0,0,0,0,0,0,0,2,5
00040185,역전재판 123 나루호도 셀렉션,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
