captured_at_utc,category_no,category_name,view_cnt
2025-08-20 06:00:00+00:00,40216,엘든 링: 황금 나무의 그림자,0
2025-08-20 06:00:00+00:00,40219,카운터 스트라이크 온라인,0
2025-08-20 06:00:00+00:00,40220,스톰게이트,0
2025-08-20 06:00:00+00:00,40221,WWE 2K24,0
2025-08-20 06:00:00+00:00,40222,Once Human,0
2025-08-20 06:00:00+00:00,40223,퍼스트 디센던트,0
2025-08-20 06:00:00+00:00,40224,유로 트럭 시뮬레이터 2,0
2025-08-20 06:00:00+00:00,40225,검은 신화: 오공,0
2025-08-20 06:00:00+00:00,40226,호연,0
2025-08-20 06:00:00+00:00,40227,인조이,0
2025-08-20 06:00:00+00:00,40228,스타워즈: 아웃로,0
2025-08-20 06:00:00+00:00,40229,크라임 씬 클리너,0
2025-08-20 06:00:00+00:00,40230,슈퍼바이브,0
2025-08-20 06:00:00+00:00,40231,마법소녀 즈큥도큥,0
2025-08-20 06:00:00+00:00,40232,역전검사,0
2025-08-20 06:00:00+00:00,40233,EA Sports FC 25,0
2025-08-20 06:00:00+00:00,40234,프로스트펑크 2,0
2025-08-20 06:00:00+00:00,40235,젤다의 전설 지혜의 투영,0
2025-08-20 06:00:00+00:00,40236,사일런트 힐 2,0
2025-08-20 06:00:00+00:00,40237,PUBG: 블라인드스팟,0
2025-08-20 06:00:00+00:00,40238,몬스터 헌터 와일즈,0
2025-08-20 06:00:00+00:00,40239,제로 시버트,0
2025-08-20 06:00:00+00:00,40240,슈퍼 마리오 파티 잼버리,0
2025-08-20 06:00:00+00:00,40242,주,0
2025-08-20 06:00:00+00:00,40243,쁘띠 아일랜드,0
2025-08-20 06:00:00+00:00,40244,스토커 2: 초르노빌의 심장부,0
2025-08-20 06:00:00+00:00,40245,WJMAX,0
2025-08-20 06:00:00+00:00,40246,락다운 프로토콜,0
2025-08-20 06:00:00+00:00,40247,DEADLOCK,0
2025-08-20 06:00:00+00:00,40248,인디아나 존스: 그레이트 서클,0
2025-08-20 06:00:00+00:00,40249,패스 오브 엑자일 2,0
2025-08-20 06:00:00+00:00,40250,델타포스,0
2025-08-20 06:00:00+00:00,40251,코난 엑자일,0
2025-08-20 06:00:00+00:00,40252,겟 투 워크,0
2025-08-20 06:00:00+00:00,40253,마블 라이벌즈,0
2025-08-20 06:00:00+00:00,40254,진 삼국무쌍: ORIGINS,0
2025-08-20 06:00:00+00:00,40255,림버스 컴퍼니,0
2025-08-20 06:00:00+00:00,40256,파워워시 시뮬레이터,0
2025-08-20 06:00:00+00:00,40257,괴담도시,0
2025-08-20 06:00:00+00:00,40258,메이크 굿 초이스,0
2025-08-20 06:00:00+00:00,40259,미사이드,0
2025-08-20 06:00:00+00:00,40260,포켓로그,0
2025-08-20 06:00:00+00:00,40261,스트리머 라이프 시뮬레이터2,0
2025-08-20 06:00:00+00:00,40262,시드 마이어의 문명 VII,0
2025-08-20 06:00:00+00:00,40263,시드 마이어의 문명 V,0
2025-08-20 06:00:00+00:00,40264,시드 마이어의 문명 VI,0
2025-08-20 06:00:00+00:00,40265,킹덤 컴: 딜리버런스 II,0
2025-08-20 06:00:00+00:00,40266,헬로 키티 아일랜드 어드벤처,0
2025-08-20 06:00:00+00:00,40267,RF 온라인 넥스트,2
2025-08-20 06:00:00+00:00,40268,마운트 앤 블레이드 2: 배너로드,0
2025-08-20 06:00:00+00:00,40269,퍼스트 버서커: 카잔,0
2025-08-20 06:00:00+00:00,40270,체인드 투게더,0
2025-08-20 06:00:00+00:00,40271,코어 키퍼,0
2025-08-20 06:00:00+00:00,40272,도시전설 해체센터,0
2025-08-20 06:00:00+00:00,40273,트릭샷 시뮬레이터,0
2025-08-20 06:00:00+00:00,40274,몬스터 헌터 라이즈: 선브레이크,0
2025-08-20 06:00:00+00:00,40275,파이널 판타지 7 리메이크,0
2025-08-20 06:00:00+00:00,40276,파이널 판타지 7 리버스,0
2025-08-20 06:00:00+00:00,40277,파이널 판타지 15,0
2025-08-20 06:00:00+00:00,40278,파이널 판타지 16,0
2025-08-20 06:00:00+00:00,40279,파이널 판타지 14,0
2025-08-20 06:00:00+00:00,40280,WWE 2K25,0
2025-08-20 06:00:00+00:00,40281,드래곤볼 더 브레이커즈,0
2025-08-20 06:00:00+00:00,40282,용과 같이8 외전 Pirates in Hawaii,0
2025-08-20 06:00:00+00:00,40283,유니콘 오버로드,0
2025-08-20 06:00:00+00:00,40284,스플릿 픽션,2
2025-08-20 06:00:00+00:00,40285,젤다의 전설 Breath of the Wild,0
2025-08-20 06:00:00+00:00,40286,젤다의 전설 Tears of the Kingdom,0
2025-08-20 06:00:00+00:00,40287,프래그펑크,4
2025-08-20 06:00:00+00:00,40288,어둠의전설,0
2025-08-20 06:00:00+00:00,40289,아크시스템웍스,0
2025-08-20 06:00:00+00:00,40290,투 포인트 뮤지엄,0
2025-08-20 06:00:00+00:00,40291,플래닛 주,0
2025-08-20 06:00:00+00:00,40292,어쌔신 크리드 섀도우스,0
2025-08-20 06:00:00+00:00,40293,MLB 더쇼 25,0
2025-08-20 06:00:00+00:00,40294,닌자 가이덴 2 블랙,0
